title,abstract,authors,date,publisher,keywords,doi,url
Nanomechanical behavior of yttria stabilized zirconia (YSZ) based thermal barrier coating,"In the present study, the detailed evaluation of nanomechanical properties in terms of hardness and Young׳s modulus of duplex and compositionally graded YSZ based thermal barrier coating (TBC) have been evaluated by nanoindentation technique. Duplex and compositionally graded TBCs have been fabricated by thermal spray deposition technique. As TBCs are commonly applied for high temperature protection, effect of isothermal treatment in air (at 900°C and 1000°C) on nanomechanical properties has also been evaluated. Finally, the mechanical properties have been correlated with characteristics of the coating. The hardness and Young׳s modulus of the TBCs are found to increase with increased duration of thermal exposure. Modulus of resilience and resistance to plastic deformation of the duplex and compositionally graded TBC have also been evaluated at room temperature and with thermal exposure and discussed in detail.","Nath, Subhasisa;Manna, Indranil;Majumdar, Jyotsna Dutta",2015-05-31,Ceramics International,"B. Porosity,C. Mechanical properties,Nanoindentation,Thermal barrier coating",10.1016/j.ceramint.2014.11.039,https://doi.org/10.1016/j.ceramint.2014.11.039
Oxygen diffusion through environmental barrier coating materials,"Environmental barrier coatings (EBCs) are commonly used to protect SiC ceramic matrix composites (CMCs) from corrosion in combustion environments, thus extending their service life in hot-zones. The dominant process that affects the service life of CMCs is the thermal growth of oxide materials, which is facilitated by oxygen diffusion through the EBCs. In this study, the oxygen diffusion behavior through EBC materials, such as Sc2Si2O7, Yb2Si2O7, and Y2Si2O7, in a temperature range of 1100 °C–1300 °C was assessed using an 18O2 tracer. The 18O and 16O isotope exchange depth profiles were characterized by time-of-flight secondary-ion mass spectrometry (ToF-SIMS). The SIMS data were fit with a semi-infinite diffusion model to calculate the diffusion coefficients and activation energies for oxygen transport through the EBC materials. Y2Si2O7 had the lowest oxygen diffusion coefficient, while Yb2Si2O7 had the highest. The differences in oxygen diffusivity can be explained by the variations of the disilicate crystal structures in the different EBC materials. The analysis identified both crystal structure and bond length as dominant factors influencing oxygen diffusion. The methods and results of this study can be applied to the screening of EBC materials with strong oxidation resistance, thus ensuring a long service life for EBCs/CMCs.","Zhao, Guangxu;Xu, Baosheng;Ren, Ke;Shao, Gang;Wang, Yiguang",2020-08-01,Ceramics International,"Oxygen diffusion behaviors,ToF-SIMS,Environmental barrier coatings,Crystal structures",10.1016/j.ceramint.2020.05.007,https://doi.org/10.1016/j.ceramint.2020.05.007
A novel non-skid composite coating with higher corrosion resistance,"In this work, low-pressure cold-sprayed Ni-Zn-Al2O3 intermediate layers were deposited between supersonic–plasma-sprayed NiCr-Cr3C2 surface layers and underlying low-carbon steel layers to form a sandwich structure that enhances the corrosion resistance of non-skid NiCr-Cr3C2 coatings. The corrosion performance of these bi-layer non-skid coatings and that of a single-layer coating were investigated through electrochemical measurements and observations of their corrosion morphologies. The novel non-skid coating with a top layer possessing a fine powder grain size exhibited the best corrosion resistance because of the pseudopassivation of the interlayer and physical barriers created by the corrosion process. The intermediate layer substantially improved the corrosion resistance of the non-skid coatings.","Bai, Yang;Li, Xiangbo;Xing, Lukuo;Wang, Zhenhua;Li, Yan",2017-12-01,Ceramics International,"Corrosion resistance,Supersonic plasma spraying,Non-skid coatings,EIS,Salt spray corrosion",10.1016/j.ceramint.2017.08.038,https://doi.org/10.1016/j.ceramint.2017.08.038
"Microstructural, mechanical and thermal shock properties of triple-layer TBCs with different thicknesses of bond coat and ceramic top coat deposited onto polyimide matrix composite","In this study, a triple-layer thermal barrier coating (TBC) of Cu-6Sn/NiCrAlY/YSZ was deposited onto a carbon-fiber reinforced polyimide matrix composite. Effects of different thicknesses of YSZ ceramic top coat and NiCrAlY intermediate layer on microstructural, mechanical and thermal shock properties of the coated samples were examined. The results revealed that the TBC systems with up to 300µm top coat thicknesses have clean and adhesive coating/substrate interfaces whereas cracks exist along coating/substrate interface of the TBC system with 400µm thick YSZ. Tensile adhesion test (TAT) indicated that adhesion strength values of the coated samples are inversely proportional to the ceramic top coat thickness. Contrarily, thermal shock resistance of the coated samples enhanced with increase in thickness of the ceramic coating. Investigation of the TBCs with different thicknesses of NiCrAlY and 300µm thick YSZ layers revealed that the TBC system with 100µm thick NiCrAlY layer exhibited the best adhesion strength and thermal shock resistance. It was inferred that thermal mismatch stresses and oxidation of the bond coats were the main factors causing failure in the thermal shock test.","Abedi, H.R.;Salehi, M.;Shafyei, A.",2018-04-15,Ceramics International,"TBC,YSZ,NiCrAlY,Adhesion strength,Thermal shock,Residual stress",10.1016/j.ceramint.2018.01.006,https://doi.org/10.1016/j.ceramint.2018.01.006
Inorganic hydrophobic coatings: Surfaces mimicking the nature,"Added value products are being developed in ceramic industry. Different optical effects as bright metallic shine or new functionalities as hydrophobicity or bactericide characteristics are the new properties searched on the tiles. In this study, we prepare glassy coatings for tiles based on copper pigment by a conventional industrial process. The obtained coatings present different aesthetical aspects, including bright metallic aspect which confers a high decorative value to the tile. Furthermore, these metallic coatings present hydrophobic properties with contact angles with water as high as 115° and also bactericide characteristics. Superficial microstructure and nanoparticles were found in the bactericide-hydrophobic samples, resembling the surface of hydrophobic leaf surfaces. This structure was formed by the crystallization of CuO nanoparticles as Tenorite due to the copper saturation of the glassy matrix at the surface of the coatings.","Reinosa, Julián J.;Romero, Juan. J.;de la Rubia, Miguel A.;del Campo, Adolfo;Fernández, José F.",2013-04-30,Ceramics International,"B. Microstructure-final,B. Surfaces,D. Glass,E. Functional applications",10.1016/j.ceramint.2012.09.007,https://doi.org/10.1016/j.ceramint.2012.09.007
The influence of pulse plating parameters on microstructure and properties of Ni-W-Si3N4 nanocomposite coatings,"Nanosized silicon nitride (Si3N4) particles reinforced Nickel-tungsten composite coatings were deposited on the surface of C45 steel sheet by pulse electrodeposition. The effect of duty cycle, frequency, current pattern and presence of Si3N4 nanoparticles on microstructure, phases and corrosion resistance and mechanical properties of the coatings were investigated. The Si3N4 phase was incorporated into Ni-W alloy matrix uniformly and the inclusion content of in the coating was analyzed by energy dispersive x-ray spectrometer (EDS). The structure, microhardness and surface roughness of the coatings was analyzed by X-ray diffraction (XRD), scanning electron microscopy (SEM), Vickers micro-indenter and atomic force microscopy (AFM). The corrosion protection of steel by the coatings was evaluated by weight loss and electrochemical impedance spectroscopy (EIS). Corrosion rates of the coatings were determined using the Tafel polarization test. The results indicated that the duty cycle of 60%, pulse frequency of 1000Hz, average current density of 5A/dm−2, and Si3N4 nanoparticles concentration of 30g/L were the optimal plating conditions. The amount of Si3N4 particles incorporated into the coating that were produced under the optimum plating conditions was 2.1wt%, and the microhardness was 1031Hv as well as the crystallite size of this coating was 27nm.","Li, Han;He, Yi;He, Teng;Fan, Yi;Yang, Qiangbin;Zhan, YingQing",2016-12-31,Ceramics International,"Ni-W composite coatings,Silicon nitride,Corrosion resistance,Wear resistance,Microhardness,Pulse electrodeposition",10.1016/j.ceramint.2016.08.171,https://doi.org/10.1016/j.ceramint.2016.08.171
Synthesis and enhanced photo/thermal stability of high-luminescent red-emitting CdTe@CaCO3 composite for LED applications,"High-luminescent CdTe@CaCO3 composite with strong and stable solid-state red emission (PLQY = ~ 50%) is synthesized via a facile co-precipitation method. The composite particles show rice-like shape with narrow size distribution, non-agglomeration, and smooth surface. A continuous tune of emission wavelength from 690 to 660 nm is achieved by increasing CaCO3 coating proportion. Compared with solid-state CdTe QDs powder, CdTe@CaCO3 composites exhibits a greatly enhancement in emission intensity (280% of initial intensity), remarkably enhancement of photostability (90% after 12 h UV irradiation) and thermal stability (70% at 180 °C). Those improvements are attributed to the effective protection and surface passivation of coated CaCO3 layer on CdTe cores. Using yellow-emitting YAG phosphor and red-emitting CdTe@CaCO3 composite as color-converted layer, the fabricated white LED prototype exhibits high color rendering index (94.3) and low color temperature (3964 K) with proper CIE coordinates (0.3773, 0.3604).","Zhang, Xinguo;Sun, Zishan;Zhou, Chunyan;Zhu, Zhenpeng;Guo, Ziying;Shen, Jinhai;Lin, Yuxuan;Xiao, Shuang;Chen, Liang;Zheng, Xihua;Wu, Zhan-chao",2019-04-01,Ceramics International,"Composite material,Quantum dots,Luminescence,LED",10.1016/j.ceramint.2018.12.137,https://doi.org/10.1016/j.ceramint.2018.12.137
"Friction and tribological behavior of bare nitrided, TiAlN and AlCrN coated MDC-K hot work tool steel","TiAlN and AlCrN coating has been deposited on MDC-K hot work tool steel by PVD technique. The microstructure, elemental composition, nanomechanical and wear properties of bare nitrided and coated surface were evaluated using XRD, Raman spectroscopy, FE-SEM along with EDS, nanoindentation and nanoscratch test. AFM have showed improvement in surface with reduction in friction coefficient by ∼47.62% and ∼45.71% with TiAlN and AlCrN coating respectively. The mechanical properties of MDC-K tool steel substrate such as hardness, elastic modulus and strain hardening exponent got improved post coating wherein TiAlN coating had exhibited higher wear resistance (H/E), improved plastics deformation resistance (H3/E2), high scratch hardness and lower specific wear rate compared to AlCrN coating. This led to lower pile up and plastic deformation in TiAlN coating. In addition to this, wear behavior of bare nitrided, TiAlN and AlCrN coated surface were evaluated under different tribological conditions. Bare nitrided surface worn out due to abrasive wear mechanism whereas AlCrN coating exhibited both smooth and rough surface due to adhesive and abrasive wear mechanism. Furthermore, TiAlN coated surface exhibited lower specific wear rate and superior micro-hardness compare to bare nitrided and AlCrN coated surface post tribotests.","Kumar, Sunil;Maity, Saikat Ranjan;Patnaik, Lokeswar",2020-08-01,Ceramics International,"MDC-K tool Steel,Nanoindentation,Nanoscratch,Friction and wear,Abrasion,Adhesion",10.1016/j.ceramint.2020.04.015,https://doi.org/10.1016/j.ceramint.2020.04.015
In-situ synthesis of MoSi2 coating on molybdenum substrate by electro-deoxidation of a SiO2 layer in molten salt,"MoSi2 coating was fabricated in situ by electro-deoxidation of SiO2 layer pre-fabricated on molybdenum substrate in molten calcium chloride at 900°C. The characteristics of the composition and microstructure of the coating under different conditions were investigated. And the cyclic voltammograms of the silica layer in molten calcium chloride were also analyzed, aiming to achieve a better understanding of the electro-deoxidation and MoSi2 formation processes. It was found that the reduction rate increased with the cell voltage and temperature of molten salt increasing. MoSi2 coating with compact structure was obtained after the electro-deoxidation of the silica layer at 3.1V for 3h. The preliminary study on the mechanism of MoSi2 coating formation suggested that SiO2, CaSiO3 and Ca3Si2O7 were reduced directly on Mo substrate to form Si–Mo alloys. As the process continued, the ratio of Si in Si–Mo alloys increased, and finally the compact MoSi2 coating with a thickness of about 10μm was obtained. The electro-reduction of SiO2 layer was highly irreversible and controlled mainly by the slow rate of electron transfer.","Dai, Lei;Yu, Yao;Zhou, Huizhu;Yan, Xiaoyong;Zhu, Jing;Li, Yuehua;Wang, Ling",2015-12-31,Ceramics International,"MoSi2 coating,Electro-deoxidation,Molten salt,SiO2,Cyclic voltammogram",10.1016/j.ceramint.2015.07.164,https://doi.org/10.1016/j.ceramint.2015.07.164
Preparation and characterization of thick porous SiO2 film for multilayer pyroelectric thin film IR detector,"Porous SiO2 film is used as a thermal-insulation layer to block the diffusion of heat flow from the pyroelectric layer to the silicon substrate in multilayer pyroelectric thin film IR detector. It is important that porous SiO2 film is uniform, smooth, crack-free, thick and high porosity in order to integrate other films to make IR detector having high specific detectivity (D *). In this paper, thick porous SiO2 film is prepared via sol–gel method with tetraethyl orthosilicate (TEOS), H2O, C3H5(OH)3, NH3·H2O as precursors. The thickness and refractive index of porous SiO2 film are measured by Thin film Measurement System (Model: Filmetrics, F20). The surface condition is measured by Atomic Force Microscopy (Model: DI, Nano-scope III) and the Scanning Electron Microscopy (Model: JEOL, JSM-5510). Experiment results show that the thickness of porous SiO2 film up to 3μm can be obtained. Porosity of the film up to 59% and nanometer size pore can be achieved by one spin coating after annealed at 550°C for 30min. The surface roughness of porous SiO2 thick film is about 7.25nm. The thick porous SiO2 film is smooth and crack-free. The electrical properties of thick porous SiO2 film are also measured.","Li, Liang;Zhang, Liangying;Yao, Xi",2004-12-31,Ceramics International,"B. Porosity,C. Electrical properties,Sol–gel,Porous SiO2 film,Thermal-insulation layer,Thickness",10.1016/j.ceramint.2003.12.059,https://doi.org/10.1016/j.ceramint.2003.12.059
Error and modification in thermal barrier coatings measurement using impedance spectroscopy,"In impedance spectroscopy testing of metal/ceramic multi-layers, such as thermal barrier coatings (TBCs), in order to avoid electric leakage, asymmetric electrode is widely adopted. However, how is electric field distribution in asymmetric electrode system, what error does it bring to measurement results, and how to modify these errors etc., are still not understood. In this study, electric field divergence in TBCs measurement induced by asymmetric electrode is investigated through solving a three-dimensional electric field equations numerically. The results show that the asymmetric electrode inevitably triggers divergence of electric field line, and as frequency decreases the divergence increases considerably. When Pt electrode diameter is chosen as 1mm in ceramic coating, the errors in thickness measurement for both YSZ and TGO are 26.20% and 89.3%, respectively. The errors rise as both YSZ and TGO thicknesses increase, while the errors decrease as Pt electrode size increases. The error in thickness measurement for TGO layer is much larger than that for YSZ. Through present research, a scheme to eliminate the effect of electric field divergence on measurement error is proposed.","Yang, L.;Zhu, W.;Li, C.F.;Zhou, Y.C.;Wang, N.G.;Wei, Y.G.",2017-04-15,Ceramics International,"Impedance spectroscopy,Asymmetric electrode,Divergence of electric field,Thermal barrier coating,Measurement error",10.1016/j.ceramint.2017.01.004,https://doi.org/10.1016/j.ceramint.2017.01.004
Optimized nanoporous alumina coating on AA3003-H14 aluminum alloy with enhanced tribo-corrosion performance in palm oil,"This study aimed to prepare nanoporous anodic alumina on AA3003-H14 aluminum alloy using a mild anodization process with minimal working voltage and treatment time. The microstructural features, mechanical properties, and tribocorrosion behavior of the coatings were assessed to determine the optimum conditions for the fabrication of nanoporous anodic alumina on AA3003-H14 alloy. The microstructural analysis showed both uniform and nonuniform pore nucleations during anodization in H2SO4/C2H2O4, H2SO4/H2CrO4, and EG/H2O/NH4F electrolytes, where the optimal nanoporous structure with an average thickness, porosity, pore diameter, and interpore distance of 382 nm, 19%, 16 nm, and 35 nm, respectively, was developed after a short-time mild anodization for 30 min at constant potential of 12 V using 15 wt% H2SO4 electrolyte. The XRD profiles indicated formation of a highly-disordered and amorphous nanoporous anodic alumina. Due to the loss of mechanical properties after heat treatment at 450 °C for 90 min, Vickers microhardness of the samples decreased drastically from 124 to 90.5 HV, respectively. The wear analysis indicated an improved tribological behavior by mild electrochemical anodization owing to the development of nanoporous anodic alumina, which acted as the liquid lubricant reservoir and increased the tribological performance of the workpiece. In addition, the heat treated specimen showed the lowest corrosion rate of 0.079 mm.y-1 and utmost corrosion protection efficiency of 95.24% following exposure in palm oil methyl ester (B100). This novel nanoporous configuration not only endows excellent tribological performance in the biofuel combustion environment, but also particularly decreases consumption of liquid lubricants through a facilitated multiphase lubrication mechanism.","Sarraf, Masoud;Nasiri-Tabrizi, Bahman;Dabbagh, Ali;Basirun, Wan Jeffery;Sukiman, Nazatul Liana",2020-04-15,Ceramics International,"Nanoporous alumina,AA3003-H14 aluminum alloy,Mild anodization,Mechanical properties,Tribocorrosion",10.1016/j.ceramint.2019.11.227,https://doi.org/10.1016/j.ceramint.2019.11.227
Optical and electrical switching properties of VO2 thin film on MgF2 (111) substrate,"High-quality VO2 thin films were epitaxially deposited on MgF2 (111) single crystal substrate by means of magnetron sputtering process. The epitaxial relation of VO2 film and MgF2 (111) substrate was denoted as (210)VO2(M)//(111) MgF2 or (111) VO2(R)//(111) MgF2, which was determined by X-ray diffraction (XRD) and transmission electron microscopy (TEM). The optical contrast between the semiconductor phase and metallic phase in the infrared region exceeds 40%, which holds great potential applications in optical switching. The energy-saving effect of VO2 films as the intelligent coating of smart window, which is commonly supposed to be one of the typical employments of optical switching performance, can be optimized by regulating the grain size of VO2 films. The resistance-temperature curves were measured by a specially customized resistance testing platform and corresponding thermochromic parameters, such as transition temperature, SMT width, activation energy, et al., were evaluated. The largest resistance ratio between the two phases exceeds 5 orders of magnitude, which can function as excellent electrical switching and may find its applications in a variety of novel switching devices.","Zhou, Huaijuan;Li, Jinhua;Xin, Yunchuan;Sun, Guangyao;Bao, Shanhu;Jin, Ping",2016-05-01,Ceramics International,"B. Grain size,C. Electrical properties,D. Transition metal oxides,Epitaxial film",10.1016/j.ceramint.2016.01.178,https://doi.org/10.1016/j.ceramint.2016.01.178
Gradient MoSi2-borosilicate glass high emissivity coating with enhanced contact and impact damage resistance,"High emissivity coatings on fibrous insulation tiles played an important role in thermal protection systems and thereby intrigued many researchers; however, there was little emphasis on the mechanical properties of the coatings. In this study, a gradient MoSi2-borosilicate glass coating with a dense surface layer and a porous interlayer was designed for mullite fibrous ceramics. Mechanical properties and structure parameters of the coating layers and the substrate were studied. The gradient coating was compared with a monolayer dense coating of the same composition and same surface density in contact damage resistance, impact resistance and emissivity. Compared with monolayer dense coating coated substrates, the gradient coating coated ones exhibited two times higher load bearing capacity in Hertzian indentation test at the same displacement of 1 mm; they appeared to be stiffer and harder at constant load of 20 N, and showed better impact resistance at impact energy range of 0.25–0.75 J in the falling weight test; besides, fatal radial cracks were not observed in gradient coatings after the tests. In addition, the gradient coating had higher emissivity (0.838) than the monolayer dense coating (0.816) because of the significant absorptivity increase and reflectivity decrease by small gradual slopes in the rough surface.","Xian, Liang;Tao, Xin;Dong, Wei;Xu, Xiaojing;Guo, Anran;Liu, Jiachen;Du, Haiyan",2018-10-01,Ceramics International,"Interfaces (B),Mechanical properties (C),Structural applications (E),High emissivity coating",10.1016/j.ceramint.2018.06.037,https://doi.org/10.1016/j.ceramint.2018.06.037
Low temperature growth of nanocrystalline Fe2TiO5 perovskite thin films by sol–gel process assisted by microwave irradiation,"Nanocrystalline Fe2TiO5 thin films have been grown on Si (100) at room temperature by using simple, cost effective sol–gel process assisted by microwave irradiation for thermal treatment. For comparison purpose the deposited films have been subjected to two kinds of annealing treatments: first set by using conventional annealing and second set by irradiating the deposited films at different microwave powers for 10min. In both treated films, formation of orthorhombic phase of Fe2TiO5 structure has been observed. It is evident that there is a dramatic structural modification when the deposited films are exposed to microwave. There was slight stoichiometric change of Fe2TiO5 thin films treated by conventional annealing and microwave annealing. Microwave exposed films have shown 47% of Fe, 6% of Ti and 47% of O in the films of the Fe2TiO5, whereas annealed films have shown close to the stoichiometry in Fe2TiO5 with 30% of Fe, 14% of Ti and 56% of O. Plausible mechanism for the formation of nanocrystalline orthorhombic phase of Fe2TiO5 perovskite structure at low microwave powers has also been discussed. This new innovative microwave heating could open a door for the advanced nanotechnologies to cut down the process cost in post treatment of the nanomaterials.","Phani, A.R.;Ruggieri, F.;Passacantando, M.;Santucci, S.",2008-01-31,Ceramics International,"A. Sol–gel process,Microwave irradiation,Annealing,Surface texturing,Perovskite nanostructures,Spin coating,X-ray diffraction,X-ray photoelectron spectroscopy",10.1016/j.ceramint.2006.09.020,https://doi.org/10.1016/j.ceramint.2006.09.020
Modelling of plasma spraying of ceramic coatings at atmospheric pressure,"Many works have been devoted to the study of plasma sprayed coatings and, if progresses have been made, the coatings are still resulting more from an empirical understanding than from a scientific one. In this paper are presented what is the present state of our knowledge in the modelling and measurement of the parameters controlling the thermomechanical properties of coatings, especially: • - The influence of the way particulates flatten and splats are formed (with their fast temperature evolution upon impact), as well as the way the strands and passes thicknesses and temperature gradients within them are controlled. • - The influence of the injection velocity and size distribution of the particulates, as well as their morphology on the trajectory, velocity, diameter and surface temperature distributions upon impact. The modelling problems (steep temperature gradients, evaporation, non-continuum effects, heat propagation,…) are underlined as well as the comparison with measurements giving only mean statistical values. • - The influence of the development of the plasma column inside the arc chamber and nozzle, arc striking at the anode, surrounding atmosphere sucked down by the plasma jet… on the length and diameter of the plasma jets and the comparison of modelling with measurements (temperature through emission spectroscopy, velocity through LDA of small particles or fluctuations…) with emphasis on the difficulties which are still to be solved.","Fauchais, P.;Vardelle, A.;Vardelle, M.",1991-12-31,Ceramics International, ,10.1016/0272-8842(91)90035-X,https://doi.org/10.1016/0272-8842(91)90035-X
A novel gas sensor based on Ag/Fe2O3 core-shell nanocomposites,"In this communication, Ag/Fe2O3 nanocomposites were successfully synthesized by reduction of silver nitrate with NaBH4 and subsequent coating of Fe2O3 by a simple Pechini sol-gel method. Synthesized powders were characterized by X-ray diffraction (XRD), scanning electron microscopy (SEM), transmission electron microscopy (TEM) and X-ray photoelectron spectroscopy (XPS). Gas sensing properties of Ag/Fe2O3 nanocomposites and pristine Fe2O3 were studied at different temperature and in the presence of different gases. It was found that Ag/Fe2O3 sensor even can detect 500 ppb NO2 gas at 150°C, whereas pristine Fe2O3 sensor showed no significant response to NO2. The possible mechanisms of NO2 sensing by Ag/Fe2O3 are discussed in detail.","Mirzaei, Ali;Janghorban, Kamal;Hashemi, Babak;Bonyani, Maryam;Leonardi, Salvatore Gianluca;Neri, Giovanni",2016-12-31,Ceramics International,"Ag/Fe2O3,Core-shell,Gas sensor,NO2",10.1016/j.ceramint.2016.09.052,https://doi.org/10.1016/j.ceramint.2016.09.052
Fine-patterning of sol-gel derived PZT film by a novel lift-off process using solution-processed metal oxide as a sacrificial layer,"Sub-5µm pattern of sol-gel derived lead-zirconium-titanate (PZT) film with a thickness of 80–390nm was successfully prepared on Pt(111)/TiOx/SiO2/Si (100) substrate by a novel lift-off process using solution-processed metal oxides as a sacrificial layer. The process is simply divided into three steps: In-Zn-O (IZO) sacrificial layer spin-coating and patterning, PZT film formation followed by lift-off process. The results suggested that the IZO layer is effective in preventing PZT crystallization because of its thermal stability during PZT post-annealing, and its barrier-effects between the spin-coated PZT precursor and the Pt/TiOx substrate. Consequently, the micro-pattern of lift-off PZT exhibited better properties than that formed by wet-etching. In particular, the lift-off PZT films possessed better ferroelectric properties, higher break-down voltage, and more well-defined shape than those of films patterned by conventional wet-etching. This lift-off process shows great promise for highly integrated devices due to its fine pattern-ability.","Tue, Phan Trong;Shimoda, Tatsuya;Takamura, Yuzuru",2016-12-31,Ceramics International,"PZT film,Micro-patterning,Lift-off,In-Zn-O metal oxide",10.1016/j.ceramint.2016.08.177,https://doi.org/10.1016/j.ceramint.2016.08.177
Effect of film cooling holes on the mechanical properties of 3D braided SiCf/SiC composites at 1350 °C in air,"3D braided SiCf/SiC composites are the preferred material for turbine blades of advanced aero engines, but film cooling holes (FCHs) severely destroy the structural integrity and affect the mechanical properties. There are few studies concerning the mechanical performance of composites with FCHs. This paper presents the effect of FCHs on the mechanical properties of 3D braided SiCf/SiC composites at 1350 °C in air. The number of drilled holes were 1, 5, 10 (rectangular) and 11 (triangular), and the average diameter was 0.5 mm. Monotonic tensile tests, microstructure characterization and finite element method were performed to investigate the initiation and evolution of local damage around the FCHs. The results indicated that the coating effectively prevents oxygen penetration in short-term tests and composites with FCHs still maintain excellent ultimate tensile strength (UTS). The UTS of the composites seriously decrease due to stress concentration and unbridged cracking propagation around the FCHs in long-term tests. A triangular arrangement should be avoided in FCHs design of 3D braided composites because specimens with 11-H present low UTS. The failure mechanism of the composites with FCHs was discussed in detail according to the FEM calculation results. The research results of this paper provide a reference for the design of SiC composite turbine blades.","Zhang, X.H.;Gao, H.S.;Wen, Z.X.;Li, M.Y.;Zhou, X.G.;Yue, Z.F.",2020-04-15,Ceramics International,"SiCf/SiC composite,Three-dimensional four-step,Film cooling holes,Ultimate tensile strength,Stress-strain behavior,Microstructure,Finite element method",10.1016/j.ceramint.2019.12.020,https://doi.org/10.1016/j.ceramint.2019.12.020
The influence of alkali pretreatments of AZ31 magnesium alloys on bonding of bioglass–ceramic coatings and corrosion resistance for biomedical applications,"Coating defects and poor interface bonding between substrates and coatings derived through sol–gel technique are common problems, which are detrimental to protective effects of coatings. Alkali pretreatment was adopted to prepare 45S5 bioglass–ceramic coatings on AZ31 magnesium alloy. After pretreatment, the 45S5 coating was uniform, dense, crack-free and close bonding to substrates. Electrochemical tests in simulated body fluid (SBF) revealed that 45S5 coatings after pretreatment could obviously improve the pitting corrosion potential and polarization resistance of AZ31 substrate, and lessen corrosion current density, suggesting effective protection. The results showed that alkali pretreatment could be a potential process for development of other coatings on magnesium alloy.","Zhao, Huan;Cai, Shu;Niu, Shuxin;Zhang, Ruiyue;Wu, Xiaodong;Xu, Guohua;Ding, Zetao",2015-04-30,Ceramics International,"45S5 glass–ceramic coating,Magnesium alloy,Alkali pretreatment,Interface bonding,Corrosion resistance",10.1016/j.ceramint.2014.12.002,https://doi.org/10.1016/j.ceramint.2014.12.002
Substrate preheating and structural properties of power plasma sprayed hydroxyapatite coatings,"The aim of the present study was to investigate the influence of substrate preheating on the structural properties of hydroxyapatite coatings (HACs) deposited by using the high power (52kW) laminar plasma jet. The deposition experiments were performed within the 20–200°C temperature range at different stand-off distances. The structural properties in the thickness direction and at the surface of the HACs were investigated by using the micro-Raman spectroscopy, scanning electron microscopy coupled with energy dispersive spectrometry, and X-ray powder diffractometry. The deposition without the preheating of the substrate produced HACs with crystallinity gradient in the thickness direction. At the stand-off distance of 80mm, the preheating of the substrate at 200°C practically eliminated the crystallinity gradient. At distances from the coating/substrate interface shorter than ~100µm, the increase of crystallinity with the preheating of the substrate was dominantly attributed to the recrystallization of hydroxyl-rich ACP into HA. At longer distances and higher initial substrate temperatures (>100°C), the crystallinity changes were negligible, whereas the recrystallization of hydroxyl-deficient ACP into oxyapatite (OA) was also possible. The X-ray diffractometry indicated the deposition conditions under which a minimum residual stress was achieved. The results of the present study strongly suggested the relation between the ACP→HA recrystallization process and the bonding strength of the HACs.","Gligorijević, Bojan R.;Vilotijević, Miroljub;Šćepanović, Maja;Vuković, Nikola S.;Radović, Nenad A.",2016-01-31,Ceramics International,"Hydroxyapatite coatings,Plasma spraying,Substrate preheating,Structural properties,Micro-Raman spectroscopy",10.1016/j.ceramint.2015.08.125,https://doi.org/10.1016/j.ceramint.2015.08.125
Influence of polyethylene glycol on cathode plasma electrolytic depositing Al2O3 anti-oxidation coatings,"Al2O3 anti-oxidation coatings were prepared by cathode plasma electrolytic deposition (CPED). The kinetics of CPED process was investigated by cathode current density–voltage curves on the samples with different surface placement directions. As polyethylene glycol (PEG) is added in solution, the spark ignition current density i c(spark ignition) is reduced significantly, and the influence of surface placement directions of cathode on CPED process becomes very weak. Consequently, plasma discharges ignite randomly at whole cathode surface, which would be favorable for the formation of uniform Al2O3 coatings on large-sized cathode with complex shapes. Owing to adding PEG in solution, the oxidation and spallation resistance of the coating are improved, and the critical load of coating is increased.","Wang, Peng;Deng, Shunjie;He, Yedong;Liu, Chenxu;Zhang, Jin",2016-05-15,Ceramics International,"A. Films,B. Surfaces,D. Al2O3,E. Thermal applications,Ceramic",10.1016/j.ceramint.2016.02.034,https://doi.org/10.1016/j.ceramint.2016.02.034
Deposition and characterization of nanostructured WC–Co coating,"Nanostructured WC–Co coatings were prepared with the vacuum plasma spraying process. The microstructure of the as-prepared coatings was determined with SEM, TEM and XRD. The results show that the main structure of the coatings is composed of WC grains with a mean particle size of 35 nm, which have a similar grain size to the primary powders. However, in some regions, the grain size of WC is reduced to about 10 nm due to the melting of the WC–Co powders. In some regions, WC grains are completely melted forming an amorphous phase. In some regions, WC grains have grown to 100 nm; in other regions, the second recrystallization occurred, strip-shaped and square-shaped structures are formed, which are as large as 500 nm. The main phase of the as-prepared WC–Co coating is WC with minor phases of α-W2C, β-WC1-x, and W3Co3C. The hardness of the coating is about 18 Gpa with a wide distribution.","Zhu, Ying Chun;Ding, Chuan Xian;Yukimura, Ken;Xiao, T.Danny;Strutt, Perter R.",2001-12-31,Ceramics International,"B. Microstructure,Plasma spray,Nanostructured coating,Tungsten carbide",10.1016/S0272-8842(01)00016-5,https://doi.org/10.1016/S0272-8842(01)00016-5
